title,rating,year,genres,link
肖申克的救赎,9.7,1994,"犯罪, 剧情",https://movie.douban.com/subject/1292052/
霸王别姬,9.6,1993,"剧情, 爱情, 同性",https://movie.douban.com/subject/1291546/
泰坦尼克号,9.5,1997,"剧情, 爱情, 灾难",https://movie.douban.com/subject/1292722/
阿甘正传,9.5,1994,"剧情, 爱情",https://movie.douban.com/subject/1292720/
千与千寻,9.4,2001,"剧情, 动画, 奇幻",https://movie.douban.com/subject/1291561/
美丽人生,9.5,1997,"剧情, 喜剧, 爱情, 战争",https://movie.douban.com/subject/1292063/
这个杀手不太冷,9.4,1994,"剧情, 动作, 犯罪",https://movie.douban.com/subject/1295644/
星际穿越,9.4,2014,"剧情, 科幻, 冒险",https://movie.douban.com/subject/1889243/
盗梦空间,9.4,2010,"剧情, 科幻, 悬疑, 冒险",https://movie.douban.com/subject/3541415/
楚门的世界,9.4,1998,"剧情, 科幻",https://movie.douban.com/subject/1292064/
辛德勒的名单,9.5,1993,"剧情, 历史, 战争",https://movie.douban.com/subject/1295124/
忠犬八公的故事,9.4,2009,剧情,https://movie.douban.com/subject/3011091/
海上钢琴师,9.3,1998,"剧情, 音乐",https://movie.douban.com/subject/1292001/
三傻大闹宝莱坞,9.2,2009,"剧情, 喜剧, 爱情, 歌舞",https://movie.douban.com/subject/3793023/
疯狂动物城,9.2,2016,"喜剧, 动画, 冒险",https://movie.douban.com/subject/25662329/
放牛班的春天,9.3,2004,"剧情, 音乐",https://movie.douban.com/subject/1291549/
机器人总动员,9.3,2008,"科幻, 动画, 冒险",https://movie.douban.com/subject/2131459/
无间道,9.3,2002,"剧情, 犯罪, 惊悚",https://movie.douban.com/subject/1307914/
控方证人,9.6,1957,"剧情, 犯罪, 悬疑, 惊悚",https://movie.douban.com/subject/1296141/
大话西游之大圣娶亲,9.2,1995,"喜剧, 爱情, 奇幻, 古装",https://movie.douban.com/subject/1292213/
熔炉,9.3,2011,剧情,https://movie.douban.com/subject/5912992/
触不可及,9.3,2011,"剧情, 喜剧",https://movie.douban.com/subject/6786002/
教父,9.3,1972,"剧情, 犯罪",https://movie.douban.com/subject/1291841/
寻梦环游记,9.1,2017,"喜剧, 动画, 奇幻, 音乐",https://movie.douban.com/subject/20495023/
当幸福来敲门,9.1,2006,"剧情, 传记, 家庭",https://movie.douban.com/subject/1849031/
末代皇帝,9.3,1987,"剧情, 传记, 历史",https://movie.douban.com/subject/1293172/
哈利·波特与魔法石,9.2,2001,"奇幻, 冒险",https://movie.douban.com/subject/1295038/
龙猫,9.2,1988,"动画, 奇幻, 冒险",https://movie.douban.com/subject/1291560/
怦然心动,9.1,2010,"剧情, 喜剧, 爱情",https://movie.douban.com/subject/3319755/
活着,9.3,1994,"剧情, 历史, 家庭",https://movie.douban.com/subject/1292365/
蝙蝠侠：黑暗骑士,9.2,2008,"剧情, 动作, 科幻, 犯罪, 惊悚",https://movie.douban.com/subject/1851857/
指环王3：王者无敌,9.3,2003,"剧情, 动作, 奇幻, 冒险",https://movie.douban.com/subject/1291552/
我不是药神,9.0,2018,"剧情, 喜剧",https://movie.douban.com/subject/26752088/
乱世佳人,9.3,1939,"剧情, 历史, 爱情, 战争",https://movie.douban.com/subject/1300267/
飞屋环游记,9.1,2009,"剧情, 喜剧, 动画, 冒险",https://movie.douban.com/subject/2129039/
让子弹飞,9.0,2010,"剧情, 喜剧, 动作, 西部",https://movie.douban.com/subject/3742360/
哈尔的移动城堡,9.1,2004,"爱情, 动画, 奇幻, 冒险",https://movie.douban.com/subject/1308807/
素媛,9.3,2013,剧情,https://movie.douban.com/subject/21937452/
十二怒汉,9.4,1957,剧情,https://movie.douban.com/subject/1293182/
海蒂和爷爷,9.3,2015,"剧情, 冒险, 家庭",https://movie.douban.com/subject/25958717/
猫鼠游戏,9.1,2002,"传记, 犯罪, 剧情",https://movie.douban.com/subject/1305487/
天空之城,9.2,1986,"动画, 奇幻, 冒险",https://movie.douban.com/subject/1291583/
摔跤吧！爸爸,9.0,2016,"剧情, 传记, 运动, 家庭",https://movie.douban.com/subject/26387939/
鬼子来了,9.3,2000,"剧情, 喜剧",https://movie.douban.com/subject/1291858/
少年派的奇幻漂流,9.1,2012,"剧情, 奇幻, 冒险",https://movie.douban.com/subject/1929463/
钢琴家,9.3,2002,"剧情, 传记, 战争, 音乐",https://movie.douban.com/subject/1296736/
指环王2：双塔奇兵,9.2,2002,"剧情, 动作, 奇幻, 冒险",https://movie.douban.com/subject/1291572/
死亡诗社,9.2,1989,剧情,https://movie.douban.com/subject/1291548/
大话西游之月光宝盒,9.0,1995,"喜剧, 爱情, 奇幻, 古装",https://movie.douban.com/subject/1299398/
何以为家,9.1,2018,剧情,https://movie.douban.com/subject/30170448/
闻香识女人,9.1,1992,剧情,https://movie.douban.com/subject/1298624/
绿皮书,8.9,2018,"剧情, 喜剧, 传记, 音乐",https://movie.douban.com/subject/27060077/
大闹天宫,9.4,1961,"剧情, 动画, 奇幻, 古装",https://movie.douban.com/subject/1418019/
黑客帝国,9.1,1999,"动作, 科幻",https://movie.douban.com/subject/1291843/
指环王1：护戒使者,9.1,2001,"剧情, 动作, 奇幻, 冒险",https://movie.douban.com/subject/1291571/
罗马假日,9.1,1953,"喜剧, 剧情, 爱情",https://movie.douban.com/subject/1293839/
教父2,9.3,1974,"剧情, 犯罪",https://movie.douban.com/subject/1299131/
狮子王,9.1,1994,"动画, 冒险, 歌舞",https://movie.douban.com/subject/1301753/
天堂电影院,9.2,1988,"剧情, 爱情",https://movie.douban.com/subject/1291828/
饮食男女,9.2,1994,"剧情, 家庭",https://movie.douban.com/subject/1291818/
辩护人,9.2,2013,剧情,https://movie.douban.com/subject/21937445/
搏击俱乐部,9.0,1999,"剧情, 动作, 悬疑, 惊悚",https://movie.douban.com/subject/1292000/
本杰明·巴顿奇事,9.0,2008,"剧情, 爱情, 奇幻",https://movie.douban.com/subject/1485260/
美丽心灵,9.1,2001,"传记, 剧情",https://movie.douban.com/subject/1306029/
穿条纹睡衣的男孩,9.2,2008,"剧情, 战争",https://movie.douban.com/subject/3008247/
情书,8.9,1995,"剧情, 爱情",https://movie.douban.com/subject/1292220/
窃听风暴,9.2,2006,"剧情, 悬疑",https://movie.douban.com/subject/1900841/
两杆大烟枪,9.1,1998,"剧情, 喜剧, 犯罪",https://movie.douban.com/subject/1293350/
哈利·波特与死亡圣器(下),9.0,2011,"奇幻, 冒险",https://movie.douban.com/subject/3011235/
音乐之声,9.1,1965,"剧情, 传记, 爱情, 歌舞",https://movie.douban.com/subject/1294408/
西西里的美丽传说,8.9,2000,"剧情, 战争, 情色",https://movie.douban.com/subject/1292402/
功夫,8.9,2004,"动作, 喜剧, 犯罪, 奇幻",https://movie.douban.com/subject/1291543/
阿凡达,8.8,2009,"动作, 科幻, 冒险",https://movie.douban.com/subject/1652587/
